seats,is_trial,tenure_days,total_subscriptions,active_subscriptions,churned_subscriptions,total_mrr,avg_mrr,max_mrr,total_arr,num_upgrades,num_downgrades,num_trials,has_auto_renew,pct_annual_billing,subscription_duration_avg,sub_churn_ratio,ever_upgraded,ever_downgraded,net_plan_movement,total_usage_events,total_usage_count,avg_usage_count,total_usage_duration_secs,avg_usage_duration_secs,total_error_count,avg_error_count,unique_features_used,beta_feature_usage_count,usage_days,days_since_last_usage,error_rate,feature_breadth_ratio,usage_density,total_tickets,avg_resolution_hours,max_resolution_hours,avg_first_response_mins,avg_satisfaction_score,min_satisfaction_score,num_escalated,num_urgent_tickets,num_high_tickets,pct_urgent,escalation_rate,has_low_satisfaction,critical_ticket_count,churn_event_count,total_refund_usd,avg_refund_usd,had_preceding_upgrade,had_preceding_downgrade,is_reactivation,days_since_last_churn,plan_tier_encoded,latest_plan_tier_encoded,tenure_bucket_encoded,seats_bucket_encoded,recency_bucket_encoded,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,main_churn_reason_budget,main_churn_reason_competitor,main_churn_reason_features,main_churn_reason_none,main_churn_reason_pricing,main_churn_reason_support,main_churn_reason_unknown,target
18,0,98,19,16,3,32571,1714.2631578947369,8358,390852,1,1,3,1,0.5263157894736842,51.63157894736842,0.15789473684210525,1,1,0,101,1053,10.425742574257425,326283,3230.5247524752476,55,0.5445544554455446,38,13,92,2,0.5445544554455446,0.95,1.0978260869565217,3.0,32.666666666666664,48.0,80.66666666666667,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,22.66,22.66,False,False,False,89.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
59,0,54,10,10,0,43247,4324.7,11741,518964,1,0,3,1,0.4,22.7,0.0,1,0,1,55,562,10.218181818181819,150186,2730.6545454545453,22,0.4,29,5,54,41,0.4,0.725,1.0185185185185186,2.0,20.5,27.0,125.5,5.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,0.0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7,1,628,12,9,3,16242,1353.5,12139,194904,2,0,2,1,0.5833333333333334,275.0,0.25,1,0,2,64,670,10.46875,217275,3394.921875,30,0.46875,30,10,63,2,0.46875,0.75,1.0158730158730158,3.0,40.333333333333336,58.0,68.33333333333333,5.0,5.0,1.0,0.0,2.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,0.0,False,False,False,0.0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11,1,352,12,10,2,23432,1952.6666666666667,10348,281184,1,2,2,1,0.5,218.66666666666666,0.16666666666666666,1,1,-1,69,642,9.304347826086957,159561,2312.478260869565,26,0.37681159420289856,34,8,64,16,0.37681159420289856,0.85,1.078125,4.0,26.75,36.0,95.0,4.0,4.0,0.0,1.0,2.0,0.25,0.0,0.0,3.0,1.0,0.0,0.0,False,False,False,229.0,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,32,13,12,1,29407,2262.076923076923,10945,352884,0,1,2,1,0.38461538461538464,19.0,0.07692307692307693,0,1,-1,70,658,9.4,173232,2474.7428571428572,49,0.7,32,8,67,8,0.7,0.8,1.044776119402985,2.0,50.5,57.0,118.0,3.0,3.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,2.0,0.0,0.0,True,True,True,2.0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,0,481,8,6,2,27746,3468.25,14129,332952,2,0,1,1,0.5,327.5,0.25,1,0,2,54,531,9.833333333333334,170826,3163.4444444444443,42,0.7777777777777778,31,7,54,14,0.7777777777777778,0.775,1.0,2.0,24.5,28.0,30.5,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,128.79,64.395,False,False,False,92.0,2,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
15,0,27,7,7,0,13266,1895.142857142857,8358,159192,0,0,0,1,0.7142857142857143,11.857142857142858,0.0,0,0,0,37,367,9.91891891891892,106259,2871.864864864865,13,0.35135135135135137,25,3,36,5,0.35135135135135137,0.625,1.0277777777777777,6.0,50.166666666666664,69.0,94.83333333333333,4.25,4.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.0,2.0,1.0,0.0,0.0,False,False,True,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
29,0,497,6,6,0,11858,1976.3333333333333,7363,142296,0,0,0,1,0.6666666666666666,243.0,0.0,0,0,0,46,494,10.73913043478261,133559,2903.4565217391305,19,0.41304347826086957,29,6,45,1,0.41304347826086957,0.725,1.0222222222222221,6.0,41.666666666666664,70.0,79.16666666666667,3.5,3.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,0.0,1,0,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,0,664,9,9,0,14646,1627.3333333333333,3582,175752,0,1,1,1,0.5555555555555556,233.22222222222223,0.0,0,1,-1,43,427,9.930232558139535,137244,3191.720930232558,18,0.4186046511627907,28,9,41,21,0.4186046511627907,0.7,1.048780487804878,5.0,36.0,58.0,59.0,3.6,3.0,0.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,0.0,2,2,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
4,1,409,8,8,0,9299,1162.375,4378,111588,3,0,2,1,0.5,225.625,0.0,1,0,3,49,511,10.428571428571429,157711,3218.591836734694,25,0.5102040816326531,31,6,46,9,0.5102040816326531,0.775,1.065217391304348,3.0,26.0,54.0,108.66666666666667,4.0,4.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,2.0,0.0,0.0,True,False,False,108.0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,0,262,14,11,3,11844,846.0,2786,142128,3,1,2,1,0.7142857142857143,149.57142857142858,0.21428571428571427,1,1,2,66,653,9.893939393939394,191849,2906.8030303030305,44,0.6666666666666666,34,15,65,24,0.6666666666666666,0.85,1.0153846153846153,4.0,14.25,29.0,97.75,4.666666666666667,4.0,1.0,1.0,0.0,0.25,0.25,0.0,1.0,2.0,0.0,0.0,False,False,True,182.0,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
8,0,157,8,7,1,5175,646.875,2388,62100,1,1,0,1,0.625,63.25,0.125,1,1,0,35,337,9.628571428571428,98383,2810.942857142857,20,0.5714285714285714,24,5,33,63,0.5714285714285714,0.6,1.0606060606060606,9.0,31.333333333333332,70.0,81.88888888888889,4.0,3.0,1.0,1.0,3.0,0.1111111111111111,0.1111111111111111,0.0,4.0,0.0,0.0,0.0,False,False,False,0.0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3,0,134,14,12,2,36445,2603.214285714286,15522,437340,2,0,3,1,0.5,88.5,0.14285714285714285,1,0,2,69,687,9.956521739130435,208387,3020.1014492753625,37,0.5362318840579711,32,8,68,38,0.5362318840579711,0.8,1.0147058823529411,3.0,31.333333333333332,71.0,76.66666666666667,3.3333333333333335,3.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,2.0,35.48,17.74,True,False,True,82.0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
86,0,226,8,8,0,75938,9492.25,17114,911256,0,0,1,1,0.375,173.625,0.0,0,0,0,42,402,9.571428571428571,127433,3034.1190476190477,22,0.5238095238095238,28,10,41,10,0.5238095238095238,0.7,1.024390243902439,3.0,57.666666666666664,64.0,108.33333333333333,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,122.0,0,2,2,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,89,7,7,0,3613,516.1428571428571,1617,43356,0,1,3,1,0.42857142857142855,58.42857142857143,0.0,0,1,-1,32,324,10.125,98113,3066.03125,20,0.625,23,2,30,13,0.625,0.575,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,136.94,68.47,False,False,False,23.0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
26,0,666,9,7,2,10162,1129.111111111111,5174,121944,2,0,1,1,0.6666666666666666,306.55555555555554,0.2222222222222222,1,0,2,47,488,10.382978723404255,150708,3206.553191489362,19,0.40425531914893614,27,2,44,7,0.40425531914893614,0.675,1.0681818181818181,5.0,34.0,63.0,59.6,4.5,4.0,0.0,3.0,0.0,0.6,0.0,0.0,3.0,3.0,0.0,0.0,False,False,False,248.0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
8,1,474,9,9,0,14121,1569.0,7761,169452,0,1,1,1,0.4444444444444444,214.22222222222223,0.0,0,1,-1,58,602,10.379310344827585,171366,2954.5862068965516,31,0.5344827586206896,30,7,57,8,0.5344827586206896,0.75,1.0175438596491229,2.0,33.0,65.0,120.5,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,False,False,False,0.0,2,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19,0,614,16,15,1,32433,2027.0625,9751,389196,3,0,3,1,0.4375,269.625,0.0625,1,0,3,72,791,10.98611111111111,237055,3292.4305555555557,37,0.5138888888888888,29,7,70,3,0.5138888888888888,0.725,1.0285714285714285,4.0,49.75,60.0,119.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,0.0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7,0,431,10,9,1,42096,4209.6,27064,505152,0,0,0,1,0.3,210.1,0.1,0,0,0,53,538,10.150943396226415,185729,3504.3207547169814,44,0.8301886792452831,27,6,51,13,0.8301886792452831,0.675,1.0392156862745099,4.0,34.0,71.0,126.5,4.0,4.0,0.0,2.0,0.0,0.5,0.0,0.0,2.0,1.0,0.0,0.0,False,False,False,163.0,2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20,0,462,7,7,0,11069,1581.2857142857142,3980,132828,1,0,0,1,0.42857142857142855,204.14285714285714,0.0,1,0,1,33,329,9.969696969696969,105214,3188.3030303030305,12,0.36363636363636365,22,5,32,100,0.36363636363636365,0.55,1.03125,2.0,61.5,63.0,27.0,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,303.0,0,0,3,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,0,91,10,10,0,10236,1023.6,2597,122832,2,1,1,1,0.4,62.0,0.0,1,1,1,55,540,9.818181818181818,175427,3189.581818181818,23,0.41818181818181815,29,5,54,7,0.41818181818181815,0.725,1.0185185185185186,5.0,24.8,60.0,102.8,4.0,4.0,1.0,1.0,3.0,0.2,0.2,0.0,4.0,1.0,0.0,0.0,False,False,False,32.0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
16,0,528,7,6,1,8216,1173.7142857142858,3184,98592,2,1,1,1,0.2857142857142857,254.71428571428572,0.14285714285714285,1,1,1,39,424,10.871794871794872,124978,3204.5641025641025,30,0.7692307692307693,21,2,39,8,0.7692307692307693,0.525,1.0,5.0,45.4,60.0,91.8,3.6666666666666665,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,2,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
14,0,188,11,11,0,21821,1983.7272727272727,5970,261852,0,0,2,1,0.5454545454545454,98.9090909090909,0.0,0,0,0,63,651,10.333333333333334,186929,2967.126984126984,32,0.5079365079365079,34,7,61,2,0.5079365079365079,0.85,1.0327868852459017,3.0,43.0,68.0,84.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,228.75,114.375,False,False,False,122.0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
2,1,617,12,11,1,17260,1438.3333333333333,4975,207120,2,0,1,1,0.4166666666666667,300.25,0.08333333333333333,1,0,2,64,693,10.828125,200177,3127.765625,27,0.421875,32,5,60,6,0.421875,0.8,1.0666666666666667,6.0,23.666666666666668,39.0,90.16666666666667,4.0,3.0,0.0,1.0,1.0,0.16666666666666666,0.0,0.0,2.0,1.0,0.0,0.0,False,False,False,539.0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7,0,672,7,7,0,7797,1113.857142857143,2646,93564,2,0,2,1,0.14285714285714285,379.0,0.0,1,0,2,37,385,10.405405405405405,125675,3396.6216216216217,11,0.2972972972972973,29,6,37,8,0.2972972972972973,0.725,1.0,1.0,27.0,27.0,49.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,False,True,455.0,0,0,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5,0,234,4,4,0,456,114.0,456,5472,0,0,3,1,0.75,108.0,0.0,0,0,0,24,248,10.333333333333334,81119,3379.9583333333335,13,0.5416666666666666,16,3,24,84,0.5416666666666666,0.4,1.0,7.0,40.857142857142854,65.0,76.14285714285714,4.6,4.0,0.0,1.0,3.0,0.14285714285714285,0.0,0.0,4.0,1.0,98.48,98.48,False,True,False,33.0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,1,600,9,8,1,11392,1265.7777777777778,3582,136704,0,0,0,1,0.4444444444444444,300.1111111111111,0.1111111111111111,0,0,0,39,376,9.64102564102564,127515,3269.6153846153848,31,0.7948717948717948,27,3,39,18,0.7948717948717948,0.675,1.0,8.0,30.75,55.0,82.5,4.25,3.0,1.0,4.0,2.0,0.5,0.125,0.0,6.0,0.0,0.0,0.0,False,False,False,0.0,1,2,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,0,191,12,11,1,20131,1677.5833333333333,4975,241572,2,1,2,1,0.5,100.75,0.08333333333333333,1,1,1,71,733,10.32394366197183,222582,3134.957746478873,53,0.7464788732394366,35,4,68,7,0.7464788732394366,0.875,1.0441176470588236,4.0,64.0,69.0,110.0,4.0,4.0,0.0,1.0,2.0,0.25,0.0,0.0,3.0,1.0,0.0,0.0,False,False,False,50.0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
20,0,25,6,5,1,14759,2459.8333333333335,4459,177108,0,0,0,1,0.5,10.166666666666666,0.16666666666666666,0,0,0,24,248,10.333333333333334,73517,3063.2083333333335,10,0.4166666666666667,17,4,24,17,0.4166666666666667,0.425,1.0,5.0,44.2,62.0,100.8,4.8,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,8.47,8.47,True,False,False,8.0,2,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,0,66,11,9,2,8771,797.3636363636364,2009,105252,0,1,1,1,0.45454545454545453,35.54545454545455,0.18181818181818182,0,1,-1,62,647,10.435483870967742,195598,3154.8064516129034,33,0.532258064516129,33,4,58,12,0.532258064516129,0.825,1.0689655172413792,5.0,27.2,63.0,109.4,4.0,3.0,0.0,2.0,1.0,0.4,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
32,0,608,12,12,0,51109,4259.083333333333,18308,613308,2,0,0,1,0.6666666666666666,283.6666666666667,0.0,1,0,2,67,706,10.537313432835822,207116,3091.283582089552,46,0.6865671641791045,32,9,62,2,0.6865671641791045,0.8,1.0806451612903225,4.0,20.0,36.0,108.5,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,72.19,36.095,True,False,False,37.0,0,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2,0,129,7,5,2,3565,509.2857142857143,2786,42780,3,0,3,1,0.2857142857142857,42.142857142857146,0.2857142857142857,1,0,3,46,493,10.717391304347826,146301,3180.4565217391305,31,0.6739130434782609,26,5,45,44,0.6739130434782609,0.65,1.0222222222222221,3.0,40.333333333333336,68.0,136.33333333333334,4.333333333333333,3.0,0.0,1.0,2.0,0.3333333333333333,0.0,0.0,3.0,0.0,0.0,0.0,False,False,False,0.0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
34,0,659,15,15,0,39516,2634.4,7164,474192,2,0,1,1,0.4666666666666667,387.8666666666667,0.0,1,0,2,77,734,9.532467532467532,227186,2950.4675324675327,38,0.4935064935064935,34,5,74,11,0.4935064935064935,0.85,1.0405405405405406,1.0,36.0,36.0,135.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
14,0,659,13,12,1,32394,2491.846153846154,7960,388728,4,0,1,1,0.5384615384615384,280.84615384615387,0.07692307692307693,1,0,4,67,666,9.940298507462687,215735,3219.9253731343283,31,0.4626865671641791,33,5,62,25,0.4626865671641791,0.825,1.0806451612903225,2.0,12.0,17.0,78.0,4.5,4.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,2.0,99.1,49.55,False,False,True,139.0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,179,13,12,1,19465,1497.3076923076924,9552,233580,1,0,1,1,0.5384615384615384,94.0,0.07692307692307693,1,0,1,66,672,10.181818181818182,210327,3186.7727272727275,36,0.5454545454545454,28,4,64,1,0.5454545454545454,0.7,1.03125,3.0,42.666666666666664,51.0,111.33333333333333,3.5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,False,False,73.0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,0,247,10,10,0,29071,2907.1,8159,348852,2,0,1,1,0.6,109.1,0.0,1,0,2,47,465,9.893617021276595,127997,2723.340425531915,19,0.40425531914893614,29,7,46,25,0.40425531914893614,0.725,1.0217391304347827,3.0,26.333333333333332,64.0,82.0,5.0,5.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,2.0,1.0,0.0,0.0,True,False,False,239.0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,0,635,11,8,3,10394,944.9090909090909,4378,124728,2,1,1,1,0.6363636363636364,371.3636363636364,0.2727272727272727,1,1,1,59,597,10.11864406779661,172764,2928.2033898305085,31,0.5254237288135594,27,3,59,8,0.5254237288135594,0.675,1.0,2.0,18.5,22.0,141.0,4.5,4.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,False,False,False,166.0,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,0,311,15,11,4,38210,2547.3333333333335,17910,458520,3,1,4,1,0.6666666666666666,146.8,0.26666666666666666,1,1,2,70,693,9.9,203946,2913.5142857142855,27,0.38571428571428573,33,6,66,17,0.38571428571428573,0.825,1.0606060606060606,5.0,22.4,41.0,67.4,4.333333333333333,4.0,0.0,2.0,0.0,0.4,0.0,0.0,2.0,1.0,6.26,6.26,False,True,False,285.0,2,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
